Series,Unnamed:_1,Unnamed:_2
2025 ALCS,2-0,"Seattle Mariners (90-72, AL) vs. Toronto Blue Jays (94-68, AL)"
2025 NLCS,2-0,"Los Angeles Dodgers (93-69, NL) vs. Milwaukee Brewers (97-65, NL)"
2025 ALDS1,3-1,"Toronto Blue Jays (94-68, AL) vs. New York Yankees* (94-68, AL)"
2025 ALDS2,3-2,"Seattle Mariners (90-72, AL) vs. Detroit Tigers* (87-75, AL)"
2025 NLDS1,3-2,"Milwaukee Brewers (97-65, NL) vs. Chicago Cubs* (92-70, NL)"
2025 NLDS2,3-1,"Los Angeles Dodgers (93-69, NL) vs. Philadelphia Phillies (96-66, NL)"
2025 ALWC1,2-1,"Detroit Tigers* (87-75, AL) vs. Cleveland Guardians (88-74, AL)"
2025 NLWC1,2-0,"Los Angeles Dodgers (93-69, NL) vs. Cincinnati Reds* (83-79, NL)"
2025 ALWC2,2-1,"New York Yankees* (94-68, AL) vs. Boston Red Sox* (89-73, AL)"
2025 NLWC2,2-1,"Chicago Cubs* (92-70, NL) vs. San Diego Padres* (90-72, NL)"
Series,,
2024 World Series,4-1,"Los Angeles Dodgers (98-64, NL) vs. New York Yankees (94-68, AL)"
2024 ALCS,4-1,"New York Yankees (94-68, AL) vs. Cleveland Guardians (92-69, AL)"
2024 NLCS,4-2,"Los Angeles Dodgers (98-64, NL) vs. New York Mets* (89-73, NL)"
2024 ALDS1,3-2,"Cleveland Guardians (92-69, AL) vs. Detroit Tigers* (86-76, AL)"
2024 ALDS2,3-1,"New York Yankees (94-68, AL) vs. Kansas City Royals* (86-76, AL)"
2024 NLDS1,3-1,"New York Mets* (89-73, NL) vs. Philadelphia Phillies (95-67, NL)"
2024 NLDS2,3-2,"Los Angeles Dodgers (98-64, NL) vs. San Diego Padres* (93-69, NL)"
2024 ALWC1,2-0,"Detroit Tigers* (86-76, AL) vs. Houston Astros (88-73, AL)"
2024 NLWC1,2-1,"New York Mets* (89-73, NL) vs. Milwaukee Brewers (93-69, NL)"
2024 ALWC2,2-0,"Kansas City Royals* (86-76, AL) vs. Baltimore Orioles* (91-71, AL)"
Series,,
2024 NLWC2,2-0,"San Diego Padres* (93-69, NL) vs. Atlanta Braves* (89-73, NL)"
2023 World Series,4-1,"Texas Rangers* (90-72, AL) vs. Arizona Diamondbacks* (84-78, NL)"
2023 ALCS,4-3,"Texas Rangers* (90-72, AL) vs. Houston Astros (90-72, AL)"
2023 NLCS,4-3,"Arizona Diamondbacks* (84-78, NL) vs. Philadelphia Phillies* (90-72, NL)"
2023 ALDS1,3-0,"Texas Rangers* (90-72, AL) vs. Baltimore Orioles (101-61, AL)"
2023 ALDS2,3-1,"Houston Astros (90-72, AL) vs. Minnesota Twins (87-75, AL)"
2023 NLDS1,3-1,"Philadelphia Phillies* (90-72, NL) vs. Atlanta Braves (104-58, NL)"
2023 NLDS2,3-0,"Arizona Diamondbacks* (84-78, NL) vs. Los Angeles Dodgers (100-62, NL)"
2023 ALWC1,2-0,"Texas Rangers* (90-72, AL) vs. Tampa Bay Rays* (99-63, AL)"
2023 NLWC1,2-0,"Arizona Diamondbacks* (84-78, NL) vs. Milwaukee Brewers (92-70, NL)"
Series,,
2023 ALWC2,2-0,"Minnesota Twins (87-75, AL) vs. Toronto Blue Jays* (89-73, AL)"
2023 NLWC2,2-0,"Philadelphia Phillies* (90-72, NL) vs. Miami Marlins* (84-78, NL)"
2022 World Series,4-2,"Houston Astros (106-56, AL) vs. Philadelphia Phillies* (87-75, NL)"
2022 ALCS,4-0,"Houston Astros (106-56, AL) vs. New York Yankees (99-63, AL)"
2022 NLCS,4-1,"Philadelphia Phillies* (87-75, NL) vs. San Diego Padres* (89-73, NL)"
2022 ALDS1,3-2,"New York Yankees (99-63, AL) vs. Cleveland Guardians (92-70, AL)"
2022 ALDS2,3-0,"Houston Astros (106-56, AL) vs. Seattle Mariners* (90-72, AL)"
2022 NLDS1,3-1,"Philadelphia Phillies* (87-75, NL) vs. Atlanta Braves (101-61, NL)"
2022 NLDS2,3-1,"San Diego Padres* (89-73, NL) vs. Los Angeles Dodgers (111-51, NL)"
2022 ALWC1,2-0,"Cleveland Guardians (92-70, AL) vs. Tampa Bay Rays* (86-76, AL)"
